Body_style,City,Class,Color,Fuel,Km,Link,Make,Model,Price,Title,Transmission,Used_since
SUV,Maadi,,Silver,gas,"77,000 Km",https://eg.hatla2ee.com/en/car/renault/duster/7006516,Renault,Duster,780000,Used Renault Duster 2020 for sale Maadi,automatic,2020
,Cairo,,Black,gas,"37,000 Km",https://eg.hatla2ee.com/en/car/kia/soul/7006427,Kia,Soul,1170000,Used Kia Soul 2021 for sale Cairo,automatic,2021
,Tagamo3 - New Cairo,,Black,gas,"60,000 Km",https://eg.hatla2ee.com/en/car/bmw/420/7006323,BMW,420,3100000,Used BMW 420 2022 for sale Tagamo3 - New Cairo,automatic,2022
,Madinaty,,Silver,gas,"117,800 Km",https://eg.hatla2ee.com/en/car/ford/focus/6992778,Ford,Focus,580000,Used Ford Focus 2013 for sale Madinaty,automatic,2013
Sedan,Heliopolis,,Black,gas,0 Km,https://eg.hatla2ee.com/en/car/mercedes/e-200/6956644,Mercedes,E 200,5850000,Used Mercedes E 200 2025 for sale Heliopolis,automatic,2025
,Cairo,,Dark blue,gas,"3,500 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/7005726,Hyundai,Elantra AD,1000000,Used Hyundai Elantra AD 2025 for sale Cairo,automatic,2025
Sedan,Beni Suef,,Blue,gas,"78,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/passat/7003592,Volkswagen,Passat,1350000,Used Volkswagen Passat 2019 for sale Beni Suef,automatic,2019
,10th of Ramadan,,Silver,gas,"195,000 Km",https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/7005800,Mitsubishi,Lancer EX Shark,750000,Used Mitsubishi Lancer EX Shark 2015 for sale 10th of Ramadan,automatic,2015
,Nasr city,,Gray,gas,"106,000 Km",https://eg.hatla2ee.com/en/car/hyundai/verna/7005721,Hyundai,Verna,150000,Used Hyundai Verna 2017 for sale Nasr city,automatic,2017
,Cairo,,Bronze,gas,"100,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7005689,Chevrolet,Optra,535000,Used Chevrolet Optra 2017 for sale Cairo,automatic,2017
,Cairo,,Gray,gas,"285,000 Km",https://eg.hatla2ee.com/en/car/renault/symbol/7005640,Renault,Symbol,230000,Used Renault Symbol 2010 for sale Cairo,automatic,2010
,Cairo,,Dark blue,gas,"170,000 Km",https://eg.hatla2ee.com/en/car/renault/sandero-step-way/7005547,Renault,Sandero Step Way,580000,Used Renault Sandero Step Way 2018 for sale Cairo,automatic,2018
,Nasr city,,Gray,gas,"69,000 Km",https://eg.hatla2ee.com/en/car/chevrolet/optra/7005513,Chevrolet,Optra,590000,Used Chevrolet Optra 2020 for sale Nasr city,automatic,2020
,Aswan,,White,gas,"250,000 Km",https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/7005433,Daewoo,Nubira 2,250000,Used Daewoo Nubira 2 2001 for sale Aswan,automatic,2001
,Alexandria,,Black,gas,"190,000 Km",https://eg.hatla2ee.com/en/car/volks-wagen/jetta/7005322,Volkswagen,Jetta,760000,Used Volkswagen Jetta 2010 for sale Alexandria,automatic,2010
Sedan,Cairo,,Gray,gas,"127,500 Km",https://eg.hatla2ee.com/en/car/toyota/corolla/7005186,Toyota,Corolla,900000,Used Toyota Corolla 2016 for sale Cairo,automatic,2016
,Giza,,White,gas,"133,000 Km",https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/7005060,Hyundai,Elantra AD,850000,Used Hyundai Elantra AD 2019 for sale Giza,automatic,2019
